network engineer: ,Washington:,576
network engineer: ,New Jersey:,398
network engineer: ,Texas:,"1,450"
network engineer: ,Virginia:,"3,312"
network engineer: ,Arkansas:,51
network engineer: ,Illinois:,614
network engineer: ,Wisconsin:,207
network engineer: ,Massachusetts:,549
network engineer: ,Kentucky:,96
network engineer: ,Pennsylvania:,500
network engineer: ,Hawaii:,149
network engineer: ,Iowa:,108
network engineer: ,Georgia:,570
network engineer: ,South Carolina:,222
network engineer: ,Delaware:,55
network engineer: ,North Carolina:,511
network engineer: ,Michigan:,280
network engineer: ,New York:,734
network engineer: ,North Dakota:,23
network engineer: ,Nebraska:,719
network engineer: ,Missouri:,278
network engineer: ,Rhode Island:,54
network engineer: ,Kansas:,130
network engineer: ,Tennessee:,172
network engineer: ,Alabama:,292
network engineer: ,Florida:,803
network engineer: ,Nevada:,89
network engineer: ,Connecticut:,141
network engineer: ,New Hampshire:,52
network engineer: ,New Mexico:,110
network engineer: ,Arizona:,427
network engineer: ,Minnesota:,218
network engineer: ,California:,"2,337"
network engineer: ,South Dakota:,33
network engineer: ,Oregon:,186
network engineer: ,Vermont:,41
network engineer: ,Montana:,40
network engineer: ,Maryland:,"2,022"
network engineer: ,West Virginia:,106
network engineer: ,Utah:,234
network engineer: ,Louisiana:,119
network engineer: ,Maine:,47
network engineer: ,Idaho:,50
network engineer: ,Indiana:,157
network engineer: ,Wyoming:,62
