help+desk: ,Idaho:,236
help+desk: ,Louisiana:,505
help+desk: ,Iowa:,352
help+desk: ,Minnesota:,848
help+desk: ,New York:,"2,570"
help+desk: ,Colorado:,"1,267"
help+desk: ,Connecticut:,510
help+desk: ,Arkansas:,245
help+desk: ,West Virginia:,171
help+desk: ,Michigan:,"1,371"
help+desk: ,New Mexico:,185
help+desk: ,North Carolina:,"1,689"
help+desk: ,Maine:,154
help+desk: ,Rhode Island:,145
help+desk: ,Florida:,"3,457"
help+desk: ,Virginia:,"2,150"
help+desk: ,Alaska:,167
help+desk: ,Washington:,"1,088"
help+desk: ,Utah:,538
help+desk: ,Wisconsin:,729
help+desk: ,Oregon:,700
help+desk: ,Oklahoma:,367
help+desk: ,Ohio:,"1,800"
help+desk: ,Vermont:,108
help+desk: ,North Dakota:,110
help+desk: ,New Jersey:,"1,304"
help+desk: ,Wyoming:,63
help+desk: ,Texas:,"4,104"
help+desk: ,Kentucky:,512
help+desk: ,Pennsylvania:,"1,881"
help+desk: ,Alabama:,689
help+desk: ,Illinois:,"1,828"
help+desk: ,Indiana:,865
help+desk: ,Maryland:,"1,516"
help+desk: ,South Carolina:,746
help+desk: ,Nebraska:,214
help+desk: ,Arizona:,"1,225"
help+desk: ,California:,"5,283"
help+desk: ,Tennessee:,"1,031"
help+desk: ,Hawaii:,188
help+desk: ,New Hampshire:,182
help+desk: ,Mississippi:,241
help+desk: ,Delaware:,155
help+desk: ,Guam:,4
help+desk: ,Montana:,138
help+desk: ,Georgia:,"1,467"
help+desk: ,Missouri:,865
help+desk: ,South Dakota:,97
help+desk: ,Nevada:,394
help+desk: ,Massachusetts:,"1,308"
help+desk: ,Kansas:,365
ccna: ,Idaho:,16
ccna: ,Louisiana:,87
ccna: ,Iowa:,60
ccna: ,Minnesota:,79
ccna: ,New York:,232
ccna: ,Colorado:,331
ccna: ,Connecticut:,43
ccna: ,Arkansas:,45
ccna: ,West Virginia:,42
ccna: ,Michigan:,123
ccna: ,New Mexico:,44
ccna: ,North Carolina:,224
ccna: ,Maine:,7
ccna: ,Rhode Island:,20
ccna: ,Florida:,385
ccna: ,Virginia:,"1,249"
ccna: ,Alaska:,60
ccna: ,Washington:,143
ccna: ,Utah:,97
ccna: ,Wisconsin:,88
ccna: ,Oregon:,80
ccna: ,Oklahoma:,59
ccna: ,Ohio:,218
ccna: ,Vermont:,25
ccna: ,North Dakota:,10
ccna: ,New Jersey:,139
ccna: ,Wyoming:,7
ccna: ,Texas:,559
ccna: ,Kentucky:,78
ccna: ,Pennsylvania:,186
ccna: ,Alabama:,132
ccna: ,Illinois:,298
ccna: ,Indiana:,84
ccna: ,Maryland:,833
ccna: ,South Carolina:,183
ccna: ,Nebraska:,45
ccna: ,Arizona:,175
ccna: ,California:,820
ccna: ,Tennessee:,79
ccna: ,Hawaii:,105
ccna: ,New Hampshire:,22
ccna: ,Mississippi:,43
ccna: ,Delaware:,29
ccna: ,Guam:,2
ccna: ,Montana:,17
ccna: ,Georgia:,259
ccna: ,Missouri:,100
ccna: ,South Dakota:,11
ccna: ,Nevada:,69
ccna: ,Massachusetts:,175
ccna: ,Kansas:,57
comptia: ,Idaho:,6
comptia: ,Louisiana:,96
comptia: ,Iowa:,33
comptia: ,Minnesota:,46
comptia: ,New York:,134
comptia: ,Colorado:,133
comptia: ,Connecticut:,38
comptia: ,Arkansas:,18
comptia: ,West Virginia:,36
comptia: ,Michigan:,88
comptia: ,New Mexico:,41
comptia: ,North Carolina:,187
comptia: ,Maine:,7
comptia: ,Rhode Island:,11
comptia: ,Florida:,261
comptia: ,Virginia:,969
comptia: ,Alaska:,49
comptia: ,Washington:,101
comptia: ,Utah:,58
comptia: ,Wisconsin:,37
comptia: ,Oregon:,29
comptia: ,Oklahoma:,61
comptia: ,Ohio:,195
comptia: ,Vermont:,4
comptia: ,North Dakota:,6
comptia: ,New Jersey:,87
comptia: ,Wyoming:,4
comptia: ,Texas:,349
comptia: ,Kentucky:,53
comptia: ,Pennsylvania:,102
comptia: ,Alabama:,153
comptia: ,Illinois:,150
comptia: ,Indiana:,59
comptia: ,Maryland:,529
comptia: ,South Carolina:,65
comptia: ,Nebraska:,27
comptia: ,Arizona:,137
comptia: ,California:,514
comptia: ,Tennessee:,65
comptia: ,Hawaii:,65
comptia: ,New Hampshire:,17
comptia: ,Mississippi:,23
comptia: ,Delaware:,34
comptia: ,Guam:,1
comptia: ,Montana:,4
comptia: ,Georgia:,192
comptia: ,Missouri:,94
comptia: ,South Dakota:,2
comptia: ,Nevada:,30
comptia: ,Massachusetts:,103
comptia: ,Kansas:,45
